Konge_navn;Kongerække;Fødselsår;Dødsår;Regeringtids_Start;Regeringtids_Slut;Antal_regeringsår;Egne_noter;;
Gorm_Den_Gamle;1;NA;958;958;NA;NA;;;
Harald_Blåtand;2;NA;987;987;NA;NA;;;
Svend_1_Tveskæg;3;963;1014;NA;1014;NA;;;
Harald_2;4;NA;1018;1014;1018;4;Ikke sikker dødsår;;
Kund_1_Den_Store;5;995;1035;1018;1035;17;;;
Hardeknud;6;1020;1042;1035;1042;7;;;
Svend_2_Estridesn;8;1020;1076;1047;1074;27;Ikke sikker fødselsår;;
Magnus_Den_Gode;7;1024;1047;1042;1047;5;;;
Harald_3_Hen ;9;1040;1080;1074;1080;6;Ikke sikker fødselsår;;
Kund_2_Den_Helling;10;1042;1086;1080;1086;6;Ikke sikker fødselsår;;
Oluf_1_Hunger;11;1050;1095;1086;1095;9;Ikke sikker fødselsår;;
Erik_1_Ejegod;12;1056;1103;1095;1103;8;Ikke sikker fødselsår;;
Niels;13;1065;1134;1104;1134;30;Ikke sikker fødselsår;;
Erik_2_Emune;14;1090;1137;1134;1137;3;Ikke sikker fødselsår;;
Erik_3_Lam;15;1110;1146;1137;1146;9;Ikke sikker fødselsår;;
Svend_3;16;1125;1157;1146;1157;11;;;
Kund_3;16;1128;1157;1146;1157;11;;;
Valdemar_1;16;1131;1182;1146;1157;11;;;
Valdemar_1_Den_Store;17;1131;1182;1157;1182;25;;;
Kund_4;18;1182;1202;1182;1202;20;;;
Valdemar_2_Sejr;19;1170;1241;1202;1241;39;;;
Erik_4_Plovpenning;20;1216;1250;1241;1250;9;;;
Abel;21;1218;1252;1250;1252;2;;;
Christoffer_1;22;1219;1259;1252;1259;7;Ikke sikker fødselsår;;
Erik_5_Kipling;23;1249;1286;1259;1286;27;;;
Erik_6_Menved;24;1274;1319;1286;1319;33;;;
Christoffer_2;25;1276;1332;1319;1326;7;;;
Christoffer_2;27;1276;1332;1329;1332;3;;;
Valdemar_3;26;1315;1364;1326;1329;3;Ikke sikker fødselsår;;
Interregnum;NA;NA;NA;1332;1340;8;;;
Valdemar_4_Atterdag;28;1320;1375;1340;1375;35;Ikke sikker fødselsår;;
Margrete_1;30;1353;1412;1387;1396;9;;;
Oluf_2;29;1370;1387;1375;1387;12;;;
Erik_7_af_Pommeren ;31;1382;1439;1396;1439;43;Ikke sikker fødselsår;;
Christoffer_3_Af_Bayern;32;1416;1448;1440;1448;8;;;
Christian_1;33;1448;1481;1448;1481;33;;;
Hans;34;1455;1513;1482;1513;31;;;
Frederik_1;36;1471;1533;1523;1533;10;;;
Christian_2;35;1481;1559;1513;1523;10;;;
Interregnum;NA;NA;NA;1533;1536;3;;;
Christian_3;37;1536;1559;1536;1559;23;;;
Frederik_2;38;1534;1588;1559;1588;29;;;
Christian_4;39;1577;1648;1588;1648;60;* begyndte at regere selv fra 1596;;
Frederik_3;40;1609;1670;1648;1670;22;;;
Christian_5;41;1646;1699;1670;1699;29;;;
Frederik_4;42;1671;1730;1699;1730;31;;;
Christian_6;43;1699;1746;1730;1746;16;;;
Frederik_5;44;1723;1766;1746;1766;20;;;
Christian_7;45;1749;1808;1766;1808;42;;;
Frederik_6;46;1763;1839;1808;1839;31;;;
Christian_8;47;1786;1848;1839;1848;9;;;
Frederik_7;48;1808;1863;1848;1863;15;;;
Christian_9;49;1818;1906;1863;1906;43;;;
Frederik_8;50;1843;1912;1906;1912;6;;;
Christian_10;51;1870;1947;1912;1947;35;;;
Frederik_9;52;1899;1972;1947;1972;25;;;
Margrethe_2;53;1940;NA;1972;2024;52;;;
Frederik_10;54;1968;NA;2024;NA;NA;;;
